Lattice Width 50;Lattice Height 50;Lattice Depth 50;Total cells
50;50;50;125000

Stream;Collide.
1.21232;2.87357
1.20944;2.98269
1.20214;2.92138
1.19482;2.96912
1.19398;2.8856
1.19712;2.93331
1.20675;2.91504
1.19978;2.89005
1.23014;2.90365
1.19862;2.90925
1.20122;2.88205
1.20096;2.90397
1.19882;2.90826
1.19882;2.89568
1.1953;2.90173
1.19101;2.89722
1.1983;2.92662
1.2056;2.86157
1.19885;2.97437
1.21286;2.87162
1.20714;2.94899
1.22717;2.89501
1.19709;2.96035
1.22378;2.89821
1.19309;2.90374
1.19811;2.91482
1.19946;2.90298
1.20173;2.91939
1.19568;2.88003
1.20483;2.91731
1.20797;2.8936
1.19894;2.94621
1.20922;2.89834
1.1896;2.93914
1.20518;2.90157
1.20365;2.92854
1.20387;2.88067
1.19309;2.93584
1.2015;2.92314
1.20182;2.90253
1.19536;2.89677
1.19741;2.8777
1.20506;2.90186
1.20598;2.87334
1.1959;2.92707
1.21302;2.89194
1.20595;2.96464
1.21219;2.87222
1.20179;2.94541
1.24618;2.89018
1.19779;2.88445
1.19882;2.87222
1.20074;2.93866
1.18752;2.88717
1.21469;2.91274
1.196;2.87616
1.1904;2.90749
1.19622;2.9151
1.20374;2.93885
1.2223;2.89037
1.1993;2.96774
1.20858;2.91059
1.19907;2.94563
1.25229;2.8951
1.18714;2.89245
1.20042;2.91616
1.1952;2.90554
1.20755;2.87744
1.19542;2.90134
1.20659;2.89533
1.20947;2.90109
1.19386;2.90285
1.19917;2.91542
1.20723;2.89027
1.21203;2.91261
1.20374;2.97216
1.21264;2.90224
1.1984;2.94989
1.1992;2.88845
1.19706;2.9425
1.20259;2.89674
1.19635;2.96998
1.2512;2.89872
1.19779;2.94547
1.23789;2.89786
1.20256;2.89971
1.20662;2.91158
1.20125;2.90006
1.19894;2.89146
