Tue Mar 01 12:08:26 2016

timeStep,Cell Index,NB_Status,ro,cellMass,cellMassTemp,epsilon,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
0,7410,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7411,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7412,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7413,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7414,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7415,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7431,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7432,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7433,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7434,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
